Sample_Id,Group
barcode01,Peritoneal fluid
barcode02,Peritoneal fluid
barcode03,Peritoneal fluid
barcode04,Peritoneal fluid
barcode05,Peritoneal fluid
barcode06,Peritoneal fluid
barcode07,Peritoneal fluid
barcode08,Peritoneal dialysis
barcode09,Peritoneal dialysis
barcode10,Peritoneal dialysis
barcode11,Peritoneal dialysis
barcode12,Peritoneal dialysis
barcode13,Peritoneal dialysis
barcode14,Peritoneal dialysis
barcode15,Ascitic fluid
barcode16,Ascitic fluid
barcode17,Ascitic fluid
barcode18,Ascitic fluid
barcode19,Ascitic fluid
barcode20,Ascitic fluid
barcode21,Joint aspirate
barcode22,Joint aspirate
barcode23,Joint aspirate
barcode24,Joint aspirate
