Sample_Id,Group
barcode01,Clamshell
barcode02,Clamshell
barcode03,Clamshell
barcode04,Clamshell
barcode05,Clamshell
barcode06,PurpleHaze
barcode07,PurpleHaze
barcode08,PurpleHaze
barcode09,PurpleHaze
barcode10,TinyBubbles
barcode11,TinyBubbles
barcode12,TinyBubbles
barcode13,TinyBubbles
barcode14,Kilo
barcode15,Kilo
barcode16,Kilo
barcode17,Kilo
barcode18,Kilo
barcode19,Transect175NW
barcode20,Transect175NW
barcode21,Transect175NW
barcode22,Transect175NW
barcode23,Transect175NW
barcode24,Transect175NW
