33033	282461.355538072	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
33040	29213.17387855727	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus milleri
1328	11.153893775559656	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus
2490633	24.74823842228754	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus periodonticum
76860	232.285758941376	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus
562	211.2466273448429	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
35518	1110.3423892525718	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis		[Eubacterium] nodatum
1338	14.545156583965689	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus intermedius
341694	3798.7963388260273	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus stomatis
1805714	356.1979381555424	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenella	Christensenella massiliensis
626937	509.7811707453085	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenella	Christensenella minuta
851	1512.756267096324	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
285729	13.72856215952047	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium canifelinum
1550024	147.07868914252174	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruthenibacterium	Ruthenibacterium lactatiformans
1852367	306.27328964995706	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Ihubacter	Ihubacter massiliensis
433296	18.260228998964262	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Aminipila	Aminipila butyrica
109327	49.62344605695846	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovorax	Anaerovorax odorimutans
573	2568.3825512102426	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
39950	78.02460720029694	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister pneumosintes
2086585	47.662929287351744	Bacteria	Bacillota	Clostridia	Eubacteriales	Maliibacteriaceae	Maliibacterium	Maliibacterium massiliense
651822	57.01798218483236	Bacteria	Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Fretibacterium	Fretibacterium fastidiosum
1261	191.82875077483112	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius
1720200	33.04674850355901	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus rubiinfantis
1871035	17.969340819720387	Bacteria	Bacillota				Negativibacillus	Negativibacillus massiliensis
1305	41.13622746099754	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis
76124	43.013449197609624	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis		[Eubacterium] minutum
113287	25.00788692317209	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Pseudoramibacter	Pseudoramibacter alactolyticus
102148	52.01640480019795	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei
37482	118.49941335043931	Bacteria	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Laceyella sacchari
39482	96.14994979520375	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta
290055	19.885934795489792	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena fissicatena
2093857	17.002840470822157	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis
181487	24.007571446245205	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia cardiffensis
Unclassified	0.0	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
