Species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20
Campylobacter jejuni,180.991028442058,269.598197801976,0,260.811642543672,168.881555384445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Arthromitus sp. SFB-rat-Yit,36.0107489349891,2004.75755025602,161.108268119262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellulosilyticum lentocellum,77.0230116977718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium disporicum,246.739401616726,0,0,0,29.7268518083393,0,0,0,0,0,312.191141738782,176.123227217841,125.778284216163,282.255397704548,80.256831663508,12.6835442532598,29.4099727502943,0,0,0
Clostridium saudiense,860.160498552233,0,32.0215189562023,13.010366164838,116.285943517103,0,0,0,0,0,13874.1285005447,9757.46230173925,7242.02580666469,11613.2800844504,2651.43141275978,247.803817284352,658.676380794378,19.0226728755324,26.0424950967196,0
Clostridium tertium,696.081587395696,0,0,0,17.0015022020331,0,0,0,0,0,402.543826700122,196.332437506043,103.973215179255,232.662441429146,47.5640996108151,0,0,0,0,0
Enterococcus cecorum,12784.7903910196,21883.9480805205,1327.29172478979,2820.34940684495,29.002544204639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus faecalis,143.123150870889,0,0,0,0,16257.7950181489,20484.7673984994,19491.7851664376,18543.5528523233,9762.95709797714,0,0,0,0,0,1411.63806690456,0,0,0,0
Escherichia coli,3756.22607013967,126.047630530988,376.725885524447,27.0215297269712,0,27841.1161926918,18410.4472555767,21272.4542239098,17552.6721562524,11630.3039001375,139.33624957098,0,337.051265656356,0,21.039407864616,0,0,0,329.537726416183,716.564750150068
Faecalimicrobium dakarense,272.150936191413,0,0,0,14.4935961127554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laceyella sacchari,197.959536039938,85.7585820540571,66.7329855774953,83.869698209294,65.7473599527248,65.9142148211675,65.8520791906249,61.8151607154187,149.105397778527,22.8893044377443,152.536999353841,99.2333472262032,107.33774402952,115.024690725041,130.196340240569,104.822709773328,48.0791466738958,82.9791534542392,69.9374502273034,192.84110279029
Lacticaseibacillus brantae,20.1772618510911,35.0726697345355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacticaseibacillus casei,209.099735153267,334.238207485257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacticaseibacillus pantheris,21.0141774532115,20.9291052658591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacticaseibacillus paracasei,19.6546386369584,30.4380621601544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.334141842221,0,0
Lacticaseibacillus rhamnosus,158.426066793443,234.815633487925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacticaseibacillus saniviri,432.211343476477,648.762730714329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus acidophilus,14.8918652257721,0,0,1129.6969558448,987.445079353317,0,0,0,0,0,0,0,0,0,15.7037645875331,0,0,0,0,0
Lactobacillus amylolyticus,64.0161665607631,0,0,167.935338934056,24.55629932467,0,0,0,0,0,13.1976341623069,0,0,0,79.1922616506699,0,0,0,0,0
Lactobacillus amylovorus,965.730056756493,15.1722060847078,0,73578.2836148776,58118.407785503,0,0,0,0,0,15420.0196944731,8168.8652938531,17526.6052394725,8161.22351945493,60032.3226966138,0,0,0,0,0
Lactobacillus crispatus,72277.616179126,41156.4490436336,337.287294527492,31770.1332767136,18239.9336640415,0,0,0,0,0,0,0,0,0,18.8105858090054,0,0,0,0,0
Lactobacillus delbrueckii,2634.74554001622,14916.2909994557,58.0390031081106,4777.30206711201,93.0010017468893,0,0,0,0,0,56.1353523243677,406.877955551799,463.057418967328,172.40339611929,4956.01540765473,0,0,0,0,0
Lactobacillus gallinarum,2309.3588807208,0,0,4786.30341471814,7703.72814385719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus gasseri,18.799351095386,0,0,29.0042923298677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus helveticus,6213.08625887361,22.9892429963527,35.0647203732647,19722.2464383732,42620.9692365474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus intestinalis,14.3004601038518,0,0,26.6195792766153,19.4718626997983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus johnsonii,3961.06744955879,0,0,4853.28634605584,2428.92288623736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus kitasatonis,19.160176653048,0,0,4086.61558291578,3452.18719204711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactococcus raffinolactis,156.046578718286,42.0158768436626,0,12.0095688435844,15.0013157235226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligilactobacillus agilis,17503.7652982856,6055.08165524785,102.954026391118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligilactobacillus aviarius,32497.7605211791,30764.5646057528,118044.364913405,10429.9821952458,3815.062682671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligilactobacillus saerimneri,31.9067486220155,16.510770232326,0,0,14.0835096114283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligilactobacillus salivarius,32441.8461535609,17710.7049577508,1427.83511307641,1086.60323839881,287.266325716216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus antri,56.7769310023191,0,0,211.629587405432,149.65907492173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus coleohominis,473.165059477089,611.926484875378,0,1211.48347274219,1240.60013376893,0,0,0,0,0,0,0,0,0,11.0206456052069,0,0,0,0,0
Limosilactobacillus frumenti,456.714682952771,353.026665608084,0,1281.24842787669,820.037419873173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus ingluviei,5334.21452117394,4287.59872087853,30.020174021433,1254.89411292158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus mucosae,2754.78608637503,6360.13896725102,0,5920.73822280624,2577.35254709297,0,0,0,0,0,261.630343441183,702.364963277495,465.130735110057,606.418922520465,928.73957573805,0,0,0,0,0
Limosilactobacillus oris,2535.59784027285,1250.40416373476,0,2892.88042013808,2626.55263481358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus panis,397.992470302879,248.351704179554,0,2296.29889417169,1631.94506009763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus reuteri,316.306149549891,1654.98940870925,0,2191.41879147552,587.643351234104,0,0,0,0,0,194.352882622057,694.352586240363,37.8268371555325,50.1172663240053,3726.13983705018,0,0,0,0,0
Limosilactobacillus secaliphilus,56.6948767434244,45.1250088825272,0,339.435510653396,136.390407994559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus vaginalis,2086.32994646366,1498.67384249584,0,9969.07655925527,9923.52654057227,0,0,0,0,0,36.089246608777,0,107.040452752414,0,394.752552912261,0,0,0,0,0
Loigolactobacillus backii,25.3165838315361,24.5334569991239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loigolactobacillus coryniformis,24.5211554047942,25.5410578322103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraclostridium sordellii,17.3428103716899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0244334190659,0,0,0,0
Pediococcus acidilactici,11.9513940270799,29.5415240590755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romboutsia ilealis,14422.2485701134,243.375871341118,0,21.1147490855185,410.026808349776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romboutsia timonensis,16485.4406790621,300.829921255916,0,51.6800823196524,686.553865634152,0,0,0,0,0,129.844540659596,381.591840466426,329.574317483169,113.322170896221,59.1779135013878,316.60137475632,15202.2015292663,1932.97923528251,1868.73133857885,0
Streptococcus acidominimus,27.3279143474139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus alactolyticus,792.610252309559,61.3222112857144,0,0,0,0,0,0,0,0,68920.9052743097,36408.2092561441,33840.769604744,18195.1657616441,14444.9263115055,0,0,0,0,0
Streptococcus gallolyticus,23.7076124131155,0,0,0,0,0,0,0,0,0,597.22799094101,218.314410304329,87.1126425850571,485.460355529775,102.490302490953,0,0,0,0,0
Streptococcus pluranimalium,159.727920398224,82.0309976471508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrisporobacter glycolicus,11.2504361111079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrisporobacter mayombei,12.7137262243226,0,0,0,0,0,0,0,0,0,4511.90561271215,4815.30989566281,2656.32885479108,3925.10889874976,1077.69782478625,132.232878387584,1149.97287766128,21.3500880802293,94.6063601629422,0
