Species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
Aerococcus sanguinicola,1,0,0,0,0,0,0,8,3,0,0,0,0,5,0,0,3,0,1,2,0,41,31,32
Alkalilactibacillus ikkensis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aquibacillus salifodinae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus badius,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,9
Bacillus wiedmannii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
Calidifontibacillus oryziterrae,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,16
Carnobacterium alterfunditum,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0
Carnobacterium divergens,1,0,0,0,0,0,1,119,0,0,0,2,2,37,0,0,1,0,24,4,2,8,2,7
Carnobacterium gallinarum,49,0,0,0,0,0,0,141,1,0,0,3,0,66,3,0,11,1,0,15,3,2,4,5
Carnobacterium inhibens,2,0,1,0,0,0,2,509,0,0,0,0,0,185,2,0,0,0,0,1,1,0,0,0
Carnobacterium maltaromaticum,2,0,0,0,0,0,0,123,0,0,0,5,1,46,3,0,1,0,2,1,1,1,3,4
Carnobacterium pleistocenium,8,0,0,0,0,0,0,5,0,0,0,19,0,2,2,0,3,1,4,5,26,0,0,0
Catellicoccus marimammalium,1,0,1,0,0,0,1,371,0,0,0,6,1,165,0,0,0,0,2,1,1,0,0,1
Chryseomicrobium palamuruense,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2
Coprococcus eutactus,1,0,0,0,327,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Desemzia incerta,8,0,1,0,0,0,0,326,9,0,0,15,4,122,0,0,2,1,14,10,7,4,4,5
Desulfohalotomaculum halophilum,2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Desulfotomaculum nigrificans,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Desulfuribacillus alkaliarsenatis,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Dialister invisus,6,0,0,14696,0,1148,0,0,0,0,0,0,0,0,0,0,0,258,0,28,0,0,0,0
Dialister pneumosintes,47,0,0,13,0,7832,0,0,0,0,0,0,0,0,74,1,0,25954,0,18,0,0,0,0
Dolosicoccus paucivorans,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drancourtella massiliensis,1,0,0,0,542,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
Enterococcus aquimarinus,2,0,0,0,0,0,0,78,1,0,0,3,1,23,1,0,2,0,0,1,4,0,0,0
Enterococcus asini,4,0,2,0,1,0,3,1202,1,0,0,7,1,477,2,0,6,0,1,2,5,11,4,6
Enterococcus avium,4,19,5,1,0,5,743,1210,6,0,0,7,42,426,0,0,3,1,17,5,6,5,2,1
Enterococcus camelliae,20,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
Enterococcus cecorum,4,0,3,0,0,0,1,151,0,0,0,8,0,36,0,0,0,1,1,0,0,1,0,0
Enterococcus columbae,12,0,0,0,2,1,0,27,6,0,0,50,1,14,2,0,8,3,1,12,70,0,2,0
Enterococcus diestrammenae,1,0,1,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Enterococcus eurekensis,1,0,0,0,0,0,0,209,0,0,0,5,0,96,0,0,2,0,0,1,0,0,0,0
Enterococcus faecalis,3,1,1318,18,0,0,0,470929,1,0,0,4,0,192442,1,0,1,0,29,13,7,3,3,9
Enterococcus haemoperoxidus,1,0,2,0,0,0,0,190,0,0,0,0,0,76,0,0,1,0,1,2,0,0,1,0
Enterococcus italicus,16,0,0,0,0,0,0,24,0,0,0,2,0,11,1,0,10,1,0,5,3,0,0,0
Enterococcus malodoratus,2,3,2,0,0,0,105,101,0,0,0,2,0,38,1,0,0,0,0,2,3,1,1,1
Enterococcus phoeniculicola,6,0,0,0,0,0,1,100,0,0,0,0,0,34,0,0,0,0,0,1,0,0,2,2
Enterococcus ratti,1,0,4,0,0,0,0,198,1,0,0,1,0,75,0,0,1,0,0,1,0,0,0,0
Enterococcus sulfureus,66,1,2,0,0,0,0,346,0,0,0,0,0,130,7,0,9,8,1,13,1,6,5,5
Escherichia fergusonii,1,15890,255763,0,120,4849,1843,0,27,0,210847,0,34,0,103,10926,0,22,4200,608,70,1,1,0
Floricoccus penangensis,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0
Floricoccus tropicus,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Fontibacillus solani,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0
Furfurilactobacillus curtus,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Furfurilactobacillus rossiae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium animalis,25,10427,0,0,0,391,128,0,0,0,0,0,0,0,10,0,0,7,0,157,0,0,0,0
Fusobacterium vincentii,190,17897,0,0,0,11806,1,0,0,0,0,0,0,0,471,2,0,0,0,376,0,0,0,0
Granulicatella elegans,1,0,0,0,1,0,0,91,0,0,0,0,59,26,0,0,5,0,2350,333,2,0,0,1
Heliorestis baculata,3,0,0,0,87,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
Howardella ureilytica,44,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,0
Isobaculum melis,3,0,1,0,0,0,1,236,0,0,0,0,0,75,2,0,3,1,1,1,9,1,1,0
Jeotgalibaca arthritidis,2,0,0,0,0,0,0,8,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0
Kurthia gibsonii,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,0
Kurthia sibirica,1,0,0,0,1,0,0,97,0,0,0,1,0,37,0,0,0,0,0,0,0,3,1,1
Lacticaseibacillus nasuensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lacticaseibacillus porcinae,20,0,0,0,0,0,1,3,9,0,0,0,0,0,1,0,1,1,0,13,0,0,0,0
Lacticigenium naphthae,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
Lactiplantibacillus paraplantarum,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0
Lactiplantibacillus pentosus,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Lactiplantibacillus plantarum,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0
Lactobacillus delbrueckii,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lactobacillus selangorensis,2,0,0,0,0,0,0,70,0,0,0,2,0,31,0,0,0,0,0,0,1,0,0,0
Lactococcus formosensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Lactococcus laudensis,22,0,0,0,0,1,1,0,0,0,0,13,2,0,21,0,28,4,0,5,0,0,0,0
Lactococcus piscium,26,0,0,0,3,1,0,0,1,0,0,5,0,0,0,0,6,0,0,3,3,0,0,0
Lactococcus plantarum,15,0,0,0,0,0,0,0,12,0,0,36,1,0,1,0,5,0,2,17,3,0,0,0
Lactococcus raffinolactis,42,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,9,9,0,3,36,0,0,0
Lapidilactobacillus concavus,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Leuconostoc gelidum,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc mesenteroides,7,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Levilactobacillus acidifarinae,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Levilactobacillus parabrevis,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levilactobacillus paucivorans,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Liquorilactobacillus aquaticus,3,3,0,0,0,0,0,68,1,0,0,42,0,20,6,0,2,1,6,1,2,0,0,0
Liquorilactobacillus uvarum,7,0,0,0,0,0,3,31,7,0,0,17,1,19,1,0,2,1,0,1,1,1,0,0
