"Sample_Id","Classification","ARO_term","Counts","ARG_length","Percentage_Identity","Drug_Class","Resistance_Mechanism","AMR_Gene_Family","Percentage_Coverage","Normalized_counts","Family","Group"
"7600-SR-001","Corynebacterium","ErmX",2386,855,90.49,"macrolide antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",100,91307.1,"Mycobacteriaceae","control"
"7600-SR-001","Corynebacterium","tet(W)",4777,1920,97.18,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",100,81405.6,"Mycobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","ACT-28",74,1146,99.48,"carbapenem","antibiotic inactivation","ACT beta-lactamase",100,2112.75,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","CRP",59,633,99.05,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3049.64,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","Enterobacter cloacae acrA",75,1194,98.74,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,2055.21,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",40,435,89.58,"fluoroquinolone antibiotic","antibiotic target alteration","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3008.65,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","Escherichia coli UhpT with mutation conferring resistance to fosfomycin",177,1392,93.95,"phosphonic acid antibiotic","antibiotic target alteration","antibiotic-resistant UhpT",100,4160.39,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","Escherichia coli mdfA",126,1233,85.75,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,3343.55,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","FosA2",62,426,95.04,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",100,4761.92,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","Klebsiella pneumoniae KpnF",33,330,87.16,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,3271.9,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","acrB",271,3147,93.23,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.9,2817.56,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","acrD",266,3114,91.8,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,2794.88,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","bacA",64,822,93.41,"peptide antibiotic","antibiotic target alteration","undecaprenyl pyrophosphate related proteins",100,2547.47,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","baeR",80,723,95,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3620.36,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","emrA",115,1173,85.9,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,3207.75,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","emrR",78,531,93.14,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,4806.18,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","marA",24,381,93.55,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.21,2061.04,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","mdtB",283,3123,89.81,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,2964.93,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","mdtC",405,3078,92.2,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,4305.13,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","oqxA",93,1176,90.28,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,2587.47,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","oqxB",366,3153,97.52,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3798.02,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","ramA",155,375,92.74,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13523.86,"Enterobacteriaceae","control"
"7600-SR-001","Enterobacter kobei","rsmA",10,186,85.25,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1759.09,"Enterobacteriaceae","control"
"7600-SR-001","Enterococcus B faecium B","AAC(6')-Ii",389,549,99.45,"aminoglycoside antibiotic","antibiotic inactivation","AAC(6')",100,23183.42,"Enterococcaceae","control"
"7600-SR-001","Enterococcus B faecium B","msrC",852,1479,99.8,"macrolide antibiotic","antibiotic target protection","msr-type ABC-F protein",100,18848.28,"Enterococcaceae","control"
"7600-SR-001","Enterococcus faecalis","dfrE",1986,495,97.56,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",100,131272.66,"Enterococcaceae","control"
"7600-SR-001","Enterococcus faecalis","efrA",7658,1719,99.65,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",99.48,145760.46,"Enterococcaceae","control"
"7600-SR-001","Enterococcus faecalis","emeA",3826,1155,97.71,"disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",97.71,108383.51,"Enterococcaceae","control"
"7600-SR-001","Enterococcus faecalis","lsaA",5912,1497,99.6,"lincosamide antibiotic","antibiotic target protection","lsa-type ABC-F protein",100,129214.98,"Enterococcaceae","control"
"7600-SR-001","Enterococcus faecalis","tet(M)",7832,1920,98.12,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",100,133466.32,"Enterococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","PC1 beta-lactamase (blaZ)",70,846,95.02,"penam","antibiotic inactivation","BlaZ beta-lactamase",100,2707.25,"Staphylococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","dfrC",46,486,100,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",100,3096.86,"Staphylococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","dfrG",37,498,100,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",100,2430.93,"Staphylococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","mgrA",112,444,94.56,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",100,8253.45,"Staphylococcaceae","control"
"7600-SR-001","Staphylococcus epidermidis","mphC",66,900,98.66,"macrolide antibiotic","antibiotic inactivation","macrolide phosphotransferase (MPH)",100,2399.39,"Staphylococcaceae","control"
